attempt_idx,waypoint_idx,x,y,yaw,success,retries_used,time_to_goal_sec,recovery_used,note,stamp_sec
183,3,-1.600,0.900,-1.570,True,0,21.787,False,succeeded,1766308170.852
184,0,-1.800,-0.800,0.000,True,0,13.500,False,succeeded,1766308184.556
185,1,1.400,-0.800,1.570,True,0,22.266,False,succeeded,1766308207.024
186,2,1.400,0.900,3.140,True,0,15.481,False,succeeded,1766308222.708
187,3,-1.600,0.900,-1.570,True,0,23.408,False,succeeded,1766308246.319
188,0,-1.800,-0.800,0.000,True,0,16.235,False,succeeded,1766308262.757
189,1,1.400,-0.800,1.570,True,0,22.074,False,succeeded,1766308285.034
190,2,1.400,0.900,3.140,True,0,14.769,False,succeeded,1766308300.005
191,3,-1.600,0.900,-1.570,True,0,21.377,False,succeeded,1766308321.585
192,0,-1.800,-0.800,0.000,True,0,19.531,False,succeeded,1766308341.321
193,1,1.400,-0.800,1.570,True,0,22.487,False,succeeded,1766308364.011
194,2,1.400,0.900,3.140,True,0,14.287,False,succeeded,1766308378.502
195,3,-1.600,0.900,-1.570,True,0,23.186,False,succeeded,1766308401.891
196,0,-1.800,-0.800,0.000,True,0,14.476,False,succeeded,1766308416.569
197,1,1.400,-0.800,1.570,True,0,21.987,False,succeeded,1766308438.759
198,2,1.400,0.900,3.140,True,0,13.569,False,succeeded,1766308452.530
199,3,-1.600,0.900,-1.570,True,0,21.376,False,succeeded,1766308474.108
200,0,-1.800,-0.800,0.000,True,0,18.639,False,succeeded,1766308492.950
201,1,1.400,-0.800,1.570,True,0,21.179,False,succeeded,1766308514.332
202,2,1.400,0.900,3.140,True,0,17.483,False,succeeded,1766308532.019
203,3,-1.600,0.900,-1.570,True,0,22.368,False,succeeded,1766308554.589
204,0,-1.800,-0.800,0.000,True,0,14.977,False,succeeded,1766308569.770
205,1,1.400,-0.800,1.570,True,0,21.369,False,succeeded,1766308591.341
206,2,1.400,0.900,3.140,True,0,15.281,False,succeeded,1766308606.824
207,3,-1.600,0.900,-1.570,True,0,21.866,False,succeeded,1766308628.088
208,0,-1.800,-0.800,0.000,True,0,16.885,False,succeeded,1766308645.176
209,1,1.400,-0.800,1.570,True,0,21.477,False,succeeded,1766308666.857
210,2,1.400,0.900,3.140,True,0,18.590,False,succeeded,1766308685.651
211,3,-1.600,0.900,-1.570,True,0,22.355,False,succeeded,1766308708.211
212,0,-1.800,-0.800,0.000,True,0,13.785,False,succeeded,1766308722.199
213,1,1.400,-0.800,1.570,True,0,21.853,False,succeeded,1766308744.254
214,2,1.400,0.900,3.140,True,0,13.178,False,succeeded,1766308757.634
215,3,-1.600,0.900,-1.570,True,0,22.634,False,succeeded,1766308780.471
216,0,-1.800,-0.800,0.000,True,0,13.878,False,succeeded,1766308794.551
217,1,1.400,-0.800,1.570,True,0,22.580,False,succeeded,1766308817.334
